id,name
3312,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
261,Bacteria
296,Bacteria
2890,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
1929,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
555,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2704,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Finegoldia
2688,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Finegoldia
710,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2500,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
2461,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
854,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus
939,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
1310,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
3555,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter
943,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
1013,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria
3368,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas
923,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
1770,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Gemella
3516,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas
3120,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
3541,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
3527,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae
2937,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
2130,Bacteria;Firmicutes;Clostridia;Clostridiales
3440,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter
3521,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae
3523,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae
3524,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae
1035,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae
